# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc6_S21,im:Trc6_S21,re:Trc7_S22,im:Trc7_S22,re:Mem8[Trc1]_S11,im:Mem8[Trc1]_S11,
7.302802802802803E+006,8.677342173148189E-001,-1.640900453706591E-002,1.266656904352405E-001,-3.607424630768392E-002,1.262244459220112E-001,-3.627289148394771E-002,8.671758352420490E-001,-1.665864112244802E-002,8.677561751185177E-001,-1.653381582913369E-002,
7.803003003003003E+006,8.676531478412121E-001,-1.765756257825787E-002,1.259319450603768E-001,-3.856234725965572E-002,1.254736766601851E-001,-3.874087892645113E-002,8.670398497555263E-001,-1.782134251291892E-002,8.676719481081586E-001,-1.776221230014519E-002,
8.303203203203203E+006,8.675057482331882E-001,-1.900523435712345E-002,1.251358325202263E-001,-4.102211471246557E-002,1.246764188113246E-001,-4.117774941046287E-002,8.669593624156344E-001,-1.886948413938493E-002,8.675301585463843E-001,-1.909133228040945E-002,
8.803403403403403E+006,8.673815155688921E-001,-2.032882373720987E-002,1.242761839781453E-001,-4.344898872569897E-002,1.238239724234549E-001,-4.359753420602403E-002,8.669544144995305E-001,-2.003138216093239E-002,8.674079389979863E-001,-2.039857415863902E-002,
9.303603603603603E+006,8.673100488232968E-001,-2.164754795003181E-002,1.233475041378540E-001,-4.585485448150650E-002,1.229045753566666E-001,-4.599232372980146E-002,8.669824191566208E-001,-2.116440870028771E-002,8.673519726871457E-001,-2.170906584218620E-002,
9.803803803803803E+006,8.672469058852516E-001,-2.296270063674515E-002,1.223679566423223E-001,-4.814931360077521E-002,1.219263683949609E-001,-4.828892830522014E-002,8.670535770461687E-001,-2.237058813859135E-002,8.673023365953932E-001,-2.304690334754888E-002,
1.030400400400400E+007,8.671088500238042E-001,-2.430197172523681E-002,1.214453408961208E-001,-5.039542115970330E-002,1.210080028144321E-001,-5.054246277982575E-002,8.670655238246146E-001,-2.360152124252269E-002,8.671422780918133E-001,-2.440248007045775E-002,
1.080420420420420E+007,8.669806444179248E-001,-2.555050131661134E-002,1.205075391067989E-001,-5.271180781204294E-002,1.200728584001526E-001,-5.285266495540121E-002,8.670401243002609E-001,-2.479404713206141E-002,8.669912788291294E-001,-2.563895027810186E-002,
1.130440440440440E+007,8.669382290721299E-001,-2.668439983501182E-002,1.195052530031771E-001,-5.503045276149031E-002,1.190581666202683E-001,-5.517359585969338E-002,8.670014901398494E-001,-2.594413059110520E-002,8.669402152750063E-001,-2.675432246713789E-002,
1.180460460460460E+007,8.669384637363172E-001,-2.783500367587172E-002,1.184264399847750E-001,-5.733009310939220E-002,1.179724587657271E-001,-5.746759039649473E-002,8.669940650808942E-001,-2.704415749534620E-002,8.669445783523179E-001,-2.789766091814697E-002,
1.230480480480481E+007,8.669306957056747E-001,-2.903359220713709E-002,1.173068848883018E-001,-5.959551144580509E-002,1.168494831005154E-001,-5.971689755613761E-002,8.669996269649989E-001,-2.818902393563132E-002,8.669355013639002E-001,-2.908803708821132E-002,
